,Price,Levy,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Airbags,Engine volume int,Turbo
1526,549,585,TOYOTA,2013,Sedan,0,Hybrid,298248,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1527,18817,0,MINI,2011,Hatchback,0,Petrol,123984,4.0,Automatic,Front,04-May,0,8,1.6,0.0
1528,470,934,NISSAN,2015,Sedan,0,Petrol,118045,4.0,Automatic,Front,04-May,0,12,2.5,0.0
1529,6899,0,SUBARU,2004,Sedan,1,Petrol,101000,4.0,Tiptronic,4x4,04-May,1,6,2.0,1.0
1530,1960,1172,FORD,2011,Jeep,0,Petrol,193013,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
1531,20005,707,SSANGYONG,2011,Jeep,0,Diesel,200241,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1532,11290,0,TOYOTA,2007,Hatchback,0,Hybrid,297600,4.0,Automatic,Front,04-May,0,6,1.5,0.0
1533,13799,639,HYUNDAI,2014,Sedan,0,LPG,185302,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1534,2979,530,HYUNDAI,2013,Sedan,0,Petrol,185570,4.0,Automatic,Front,04-May,0,12,1.6,0.0
1535,4861,1058,MERCEDES-BENZ,2012,Sedan,0,Diesel,128202,6.0,Automatic,Rear,04-May,0,12,3.5,0.0
1536,58172,784,HONDA,2017,Hatchback,0,Petrol,26166,4.0,Automatic,Front,04-May,0,4,1.5,0.0
1537,7840,0,CHRYSLER,2003,Sedan,0,LPG,110000,4.0,Tiptronic,Front,04-May,0,4,2.0,0.0
1538,53154,891,HYUNDAI,2016,Jeep,0,Diesel,80737,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1539,6272,0,OPEL,1999,Sedan,1,Petrol,100000,4.0,Manual,Front,04-May,0,3,1.6,0.0
1540,31581,915,HYUNDAI,2014,Minivan,0,Diesel,114142,4.0,Automatic,Front,04-May,0,4,3.0,0.0
1541,42337,0,FORD,2016,Microbus,1,Diesel,56000,4.0,Manual,Rear,04-May,0,4,2.2,1.0
1542,251,584,HYUNDAI,2014,Sedan,0,Petrol,40963,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1544,8467,1111,HONDA,2012,Hatchback,1,Hybrid,60000,4.0,Variator,Front,04-May,1,4,1.3,0.0
1545,12388,1399,MERCEDES-BENZ,2010,Sedan,0,Diesel,189530,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
1546,627,585,TOYOTA,2013,Hatchback,0,Hybrid,247651,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1548,19757,0,HYUNDAI,2011,Sedan,0,Hybrid,179200,4.0,Tiptronic,Front,04-May,0,6,2.4,0.0
1549,11299,639,HYUNDAI,2014,Sedan,0,LPG,54546,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1550,862,1249,SUBARU,2017,Jeep,0,Petrol,74562,4.0,Automatic,4x4,04-May,0,0,2.5,0.0
1551,1725,1292,MERCEDES-BENZ,2016,Sedan,0,Petrol,49968,6.0,Automatic,4x4,04-May,0,12,3.0,0.0
1552,10976,0,MERCEDES-BENZ,2003,Sedan,0,Diesel,280000,4.0,Tiptronic,Rear,04-May,0,5,2.2,1.0
1553,251,1750,TOYOTA,2008,Jeep,0,Hybrid,318467,6.0,Automatic,4x4,04-May,0,12,3.3,0.0
1554,1568,831,CHEVROLET,2011,Jeep,0,Petrol,80000,4.0,Automatic,Front,04-May,0,12,2.4,0.0
1555,11177,502,TOYOTA,2013,Hatchback,0,Petrol,133682,4.0,Automatic,Front,04-May,0,4,1.5,0.0
1557,23138,836,HYUNDAI,2010,Jeep,0,Diesel,188083,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1558,10976,0,TOYOTA,2005,Hatchback,1,Hybrid,259000,4.0,Variator,Front,04-May,0,2,1.5,0.0
1559,470,586,TOYOTA,2012,Hatchback,0,Hybrid,373634,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1560,19757,0,VOLKSWAGEN,2012,Sedan,0,Petrol,120640,5.0,Tiptronic,Front,04-May,0,6,2.5,0.0
1563,14113,308,TOYOTA,2014,Jeep,0,Hybrid,339710,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1564,5959,1438,OPEL,2003,Goods wagon,1,Diesel,235000,4.0,Manual,Rear,02-Mar,0,2,1.7,0.0
1565,25089,0,TOYOTA,2012,Jeep,1,Petrol,83500,4.0,Automatic,4x4,04-May,0,4,2.5,0.0
1566,16308,585,HYUNDAI,2013,Sedan,1,Petrol,50545,4.0,Tiptronic,Front,04-May,0,8,1.8,0.0
1567,6429,1282,CHEVROLET,2007,Jeep,0,Diesel,76198,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1568,12544,639,FORD,2014,Sedan,1,Petrol,81000,4.0,Automatic,Front,04-May,0,0,2.0,0.0
1569,549,1172,LEXUS,2011,Sedan,0,Petrol,229736,6.0,Automatic,Front,04-May,0,12,3.5,0.0
1570,7840,4508,BMW,2001,Universal,1,Petrol,183000,4.0,Tiptronic,Rear,04-May,1,6,1.9,0.0
1571,4800,0,AUDI,2002,Sedan,0,Petrol,0,6.0,Automatic,4x4,04-May,0,0,2.7,1.0
1573,862,1024,FORD,2010,Jeep,0,Hybrid,174926,4.0,Automatic,Front,04-May,0,0,2.5,0.0
1574,282,1399,LEXUS,2010,Jeep,0,Hybrid,311949,6.0,Automatic,Front,04-May,0,12,3.5,0.0
1575,16599,531,HYUNDAI,2012,Sedan,0,Petrol,125581,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1576,15367,562,FIAT,2015,Coupe,1,Petrol,19000,4.0,Manual,Front,04-May,0,10,1.4,0.0
1577,11604,0,MERCEDES-BENZ,2003,Sedan,1,Diesel,299000,4.0,Tiptronic,Rear,04-May,0,0,2.2,0.0
1578,23207,0,TOYOTA,2010,Jeep,0,Petrol,167300,4.0,Variator,4x4,>5,0,8,2.0,0.0
1579,42651,0,MERCEDES-BENZ,2007,Minivan,1,Diesel,200000,4.0,Manual,Rear,04-May,0,2,2.2,1.0
1580,64463,880,HYUNDAI,2018,Sedan,0,Petrol,5187,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1581,40,0,TOYOTA,2010,Sedan,1,Hybrid,256000,6.0,Automatic,Front,04-May,0,1,1.8,0.0
1582,18503,0,TOYOTA,2010,Sedan,1,Petrol,162000,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1583,1333,289,FORD,2008,Jeep,0,Hybrid,349288,4.0,Automatic,Front,04-May,0,0,0.4,0.0
1584,35736,777,HYUNDAI,2014,Minivan,0,Diesel,110483,4.0,Automatic,Front,04-May,0,4,2.5,0.0
1585,25638,501,TOYOTA,2014,Hatchback,0,Petrol,35000,4.0,Automatic,Front,04-May,0,4,1.5,0.0
1586,7213,0,MERCEDES-BENZ,1999,Coupe,0,Petrol,115000,8.0,Tiptronic,Rear,02-Mar,0,4,4.3,0.0
1587,15681,0,TOYOTA,2010,Hatchback,1,Petrol,0,4.0,Automatic,Front,04-May,0,8,1.8,0.0
1588,5331,0,OPEL,1997,Goods wagon,1,CNG,0,4.0,Manual,Front,04-May,0,2,1.6,0.0
1589,11917,753,HYUNDAI,2012,Sedan,0,Petrol,113824,4.0,Automatic,Front,04-May,0,4,2.4,0.0
1590,8154,1172,LEXUS,2011,Sedan,0,Petrol,259066,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
1591,7527,0,OPEL,2004,Goods wagon,1,Diesel,156000,4.0,Automatic,4x4,04-May,0,2,2.2,1.0
1592,18826,528,HYUNDAI,2014,Sedan,0,Diesel,111232,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1593,3293,645,LEXUS,2011,Hatchback,0,Hybrid,224267,4.0,Automatic,Front,04-May,0,0,1.8,0.0
1594,24462,738,CHEVROLET,2017,Sedan,0,Petrol,70400,4.0,Automatic,Front,04-May,0,0,1.4,1.0
1595,392,645,TOYOTA,2011,Jeep,0,Hybrid,146184,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1596,7840,0,NISSAN,2003,Sedan,1,Petrol,145000,6.0,Automatic,Front,04-May,1,4,2.3,0.0
1597,15053,645,TOYOTA,2011,Hatchback,1,Hybrid,14900,4.0,Automatic,Front,04-May,0,10,1.8,0.0
1598,17562,697,HONDA,2015,Coupe,1,Petrol,58190,4.0,Automatic,Front,02-Mar,0,6,1.8,0.0
1599,40889,697,HONDA,2015,Sedan,0,Petrol,29000,4.0,Automatic,Front,04-May,0,4,1.8,0.0
1600,11133,1277,HYUNDAI,2018,Sedan,0,Petrol,56150,4.0,Automatic,Front,02-Mar,0,12,2.4,0.0
1601,392,781,VOLKSWAGEN,2012,Sedan,0,Petrol,220846,5.0,Automatic,Front,04-May,0,12,2.5,0.0
1602,17000,584,NISSAN,2014,Sedan,1,Petrol,48000,4.0,Automatic,Front,04-May,0,4,1.8,0.0
1603,18503,730,HYUNDAI,2016,Sedan,0,LPG,29864,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1604,7683,1090,CHEVROLET,2008,Jeep,0,Diesel,67233,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1606,188,751,CHEVROLET,2013,Jeep,0,Petrol,149445,4.0,Automatic,4x4,04-May,0,12,2.4,0.0
1608,120,0,MERCEDES-BENZ,2007,Minivan,1,Diesel,140000,4.0,Automatic,Rear,04-May,0,2,2.2,1.0
1609,15053,862,FORD,2011,Sedan,0,Hybrid,154000,4.0,Automatic,Front,04-May,0,10,2.5,0.0
1610,51746,1620,MERCEDES-BENZ,2006,Minivan,1,Diesel,32000,4.0,Manual,Rear,04-May,0,4,2.2,0.0
1611,37633,0,LINCOLN,2013,Sedan,0,Hybrid,82817,4.0,Variator,Front,04-May,0,12,2.0,0.0
1612,18817,1018,BMW,2011,Sedan,0,Petrol,107000,6.0,Tiptronic,Rear,04-May,0,10,3.0,0.0
1613,39559,765,HYUNDAI,2015,Jeep,0,Diesel,89423,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1614,35046,639,HYUNDAI,2014,Jeep,0,Diesel,117856,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1615,13172,707,HYUNDAI,2011,Jeep,0,Diesel,72366,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1616,1568,2018,TOYOTA,2015,Jeep,0,Petrol,128000,8.0,Automatic,4x4,04-May,0,12,5.7,0.0
1617,11290,0,HONDA,2013,Hatchback,1,Petrol,120000,4.0,Variator,Front,04-May,1,4,1.5,0.0
1618,627,473,CHEVROLET,2014,Sedan,0,Petrol,201974,4.0,Automatic,Front,04-May,0,12,1.4,0.0
1619,21953,836,HYUNDAI,2010,Jeep,0,Diesel,174000,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1621,26613,639,CHEVROLET,2014,Sedan,0,Petrol,121800,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1622,34889,831,HONDA,2018,Coupe,0,Petrol,16125,4.0,Automatic,Front,04-May,0,4,1.5,0.0
1625,2195,645,HYUNDAI,2011,Jeep,0,Petrol,308501,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1626,14113,473,CHEVROLET,2014,Sedan,1,Petrol,82000,4.0,Automatic,Front,04-May,0,6,1.4,1.0
1627,5331,584,CHEVROLET,2014,Jeep,0,Petrol,45680,4.0,Automatic,Front,04-May,0,4,1.8,0.0
1628,627,585,TOYOTA,2013,Hatchback,0,Hybrid,0,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1629,43278,0,MINI,2014,Hatchback,0,Petrol,53440,4.0,Tiptronic,Front,04-May,0,12,1.6,1.0
1630,9408,0,TOYOTA,2002,Minivan,1,Petrol,200000,4.0,Automatic,4x4,04-May,1,4,2.4,0.0
1631,15681,0,HYUNDAI,2011,Hatchback,1,Petrol,115200,4.0,Tiptronic,Front,02-Mar,0,12,1.6,0.0
1632,8947,790,CHEVROLET,2009,Sedan,0,Diesel,38254,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1633,8467,0,NISSAN,2006,Hatchback,0,Petrol,139000,4.0,Variator,Front,04-May,1,6,1.5,0.0
1634,16621,761,TOYOTA,2010,Sedan,1,Petrol,174000,8.0,Automatic,Front,04-May,0,10,1.8,0.0
1635,18817,0,HYUNDAI,2015,Sedan,1,Petrol,56000,4.0,Tiptronic,Front,04-May,0,10,1.8,0.0
1637,3450,0,SUBARU,2000,Sedan,1,CNG,200000,4.0,Automatic,4x4,04-May,1,2,2.0,0.0
1638,12858,645,TOYOTA,2011,Hatchback,1,Hybrid,116000,4.0,Variator,Front,04-May,0,12,1.8,0.0
1639,2509,1017,MERCEDES-BENZ,2017,Jeep,0,Petrol,44477,4.0,Automatic,Front,04-May,0,0,2.0,0.0
1640,10406,687,HYUNDAI,2010,Sedan,0,Petrol,100963,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1641,9095,473,CHEVROLET,2014,Sedan,1,Petrol,52000,4.0,Automatic,Front,04-May,0,8,1.4,0.0
1642,7840,0,MERCEDES-BENZ,2001,Coupe,0,Petrol,259000,4.0,Tiptronic,Rear,02-Mar,1,4,2.0,1.0
1643,9593,447,HONDA,2013,Universal,0,Hybrid,112405,4.0,Automatic,Front,04-May,0,4,1.3,0.0
1645,94,1202,HYUNDAI,2017,Sedan,0,Petrol,130678,4.0,Automatic,Front,04-May,0,12,2.4,0.0
1646,17562,0,TOYOTA,2012,Hatchback,1,Petrol,192000,4.0,Automatic,Front,04-May,0,4,1.5,0.0
1647,9722,1268,TOYOTA,2012,Hatchback,1,Hybrid,125000,4.0,Automatic,Front,04-May,1,2,1.5,0.0
1649,30,0,HONDA,2005,Hatchback,1,Petrol,145000,4.0,Automatic,Front,04-May,1,4,1.3,0.0
1650,7840,0,SUZUKI,2006,Hatchback,1,Petrol,19000,4.0,Automatic,4x4,04-May,1,4,1.5,0.0
1652,12600,988,TOYOTA,2007,Hatchback,0,Hybrid,170000,4.0,Automatic,Front,04-May,0,6,1.5,0.0
1654,42601,784,TOYOTA,2017,Hatchback,0,Petrol,17247,4.0,Automatic,Front,04-May,0,4,1.5,0.0
1655,49864,891,BMW,2016,Sedan,0,Petrol,32000,4.0,Tiptronic,Rear,04-May,0,12,2.0,1.0
1656,17942,530,HYUNDAI,2013,Sedan,0,Petrol,196448,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1657,23408,707,HYUNDAI,2011,Jeep,0,Diesel,176635,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1658,18817,891,HYUNDAI,2016,Sedan,0,LPG,287140,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1659,330,765,TOYOTA,2015,Sedan,1,Petrol,0,4.0,Automatic,Front,04-May,0,0,2.0,0.0
1661,20385,0,MERCEDES-BENZ,2005,Microbus,1,Diesel,245000,4.0,Manual,Rear,02-Mar,0,2,2.2,1.0
1662,15063,1024,HYUNDAI,2010,Minivan,0,Diesel,52717,4.0,Automatic,Front,04-May,0,4,2.5,0.0
1664,24462,0,CHEVROLET,2014,Hatchback,0,Plug-in Hybrid,90000,4.0,Variator,Front,04-May,0,8,1.4,0.0
1665,13485,0,TOYOTA,2012,Hatchback,0,Hybrid,0,4.0,Automatic,Front,04-May,0,8,1.8,0.0
1666,627,1750,TOYOTA,2008,Jeep,0,Hybrid,277405,6.0,Automatic,4x4,04-May,0,12,3.3,0.0
1667,13877,531,HYUNDAI,2012,Sedan,0,Diesel,213131,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1668,29793,0,LEXUS,2008,Jeep,0,CNG,73000,6.0,Automatic,4x4,04-May,0,10,3.5,0.0
1669,1176,934,MAZDA,2015,Sedan,0,Petrol,142800,4.0,Automatic,Front,04-May,0,12,2.5,0.0
1670,59464,971,SSANGYONG,2016,Jeep,0,Diesel,43877,4.0,Automatic,Front,04-May,0,4,2.2,0.0
1671,56136,1017,MERCEDES-BENZ,2017,Sedan,0,Petrol,50963,4.0,Automatic,Rear,04-May,0,12,2.0,0.0
1672,46728,1811,LEXUS,2010,Jeep,0,Petrol,260771,8.0,Automatic,4x4,04-May,0,0,4.6,0.0
1673,37633,1408,MERCEDES-BENZ,2007,Minivan,0,Diesel,145784,4.0,Manual,Rear,04-May,0,10,2.2,1.0
1674,27284,986,LEXUS,2010,Sedan,0,Hybrid,169000,4.0,Automatic,Front,04-May,0,10,2.4,0.0
1675,130,0,TOYOTA,2009,Jeep,1,Hybrid,180000,6.0,Automatic,4x4,04-May,0,12,3.3,0.0
1676,21953,308,LEXUS,2014,Hatchback,0,Hybrid,192000,4.0,Variator,Front,04-May,0,8,1.8,0.0
1677,16741,640,HYUNDAI,2013,Sedan,0,Petrol,149289,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1678,13485,584,CHEVROLET,2014,Sedan,1,Petrol,87000,4.0,Tiptronic,Front,04-May,0,12,1.8,0.0
1680,22248,836,HYUNDAI,2010,Jeep,0,Diesel,184554,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1681,5645,0,BMW,1996,Sedan,1,Petrol,300000,4.0,Manual,Rear,04-May,0,2,1.6,0.0
1682,5645,1436,BUICK,2010,Sedan,0,Petrol,158662,6.0,Automatic,Front,04-May,0,12,3.6,0.0
1683,2509,574,HONDA,2010,Hatchback,0,Hybrid,210758,4.0,Automatic,Front,04-May,0,0,1.3,0.0
1685,21492,1185,HYUNDAI,2009,Minivan,0,Diesel,51273,4.0,Automatic,Front,04-May,0,4,2.5,0.0
1686,16308,474,CHEVROLET,2013,Hatchback,0,Petrol,140000,4.0,Tiptronic,Front,04-May,0,12,1.4,1.0
1688,470,1249,TOYOTA,2017,Jeep,0,Petrol,58114,4.0,Automatic,Front,04-May,0,12,2.5,0.0
1689,204,0,NISSAN,2012,Jeep,1,Petrol,110000,4.0,Automatic,4x4,04-May,0,4,3.6,0.0
1690,470,583,CHEVROLET,2011,Hatchback,0,Petrol,155536,4.0,Automatic,Front,04-May,0,12,1.6,0.0
1691,11917,765,FORD,2015,Hatchback,1,Petrol,85985,4.0,Tiptronic,Front,04-May,0,12,2.0,0.0
1692,11604,0,MAZDA,2009,Sedan,1,Petrol,181894,4.0,Tiptronic,Front,04-May,0,4,2.0,0.0
1693,24148,0,FORD,2013,Sedan,0,Hybrid,70000,4.0,Automatic,Front,04-May,0,0,2.0,0.0
1694,392,761,TOYOTA,2010,Sedan,0,Petrol,0,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1695,8781,0,HONDA,2004,Hatchback,1,Petrol,172000,4.0,Automatic,Front,04-May,1,2,1.5,0.0
1696,10349,765,HYUNDAI,2015,Sedan,0,LPG,53341,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1697,12231,2056,SUBARU,2012,Jeep,0,Petrol,110000,4.0,Automatic,4x4,04-May,1,10,2.5,0.0
1699,41281,880,SSANGYONG,2018,Jeep,0,Petrol,52349,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1701,51432,0,LEXUS,2007,Jeep,0,Petrol,150000,8.0,Automatic,4x4,04-May,0,12,4.7,0.0
1702,13485,915,BMW,2014,Sedan,0,Diesel,98368,6.0,Automatic,4x4,04-May,0,12,3.0,0.0
1703,16308,0,HONDA,2013,Sedan,1,Hybrid,128000,4.0,Automatic,Front,04-May,1,2,1.5,0.0
1704,29094,730,HYUNDAI,2016,Sedan,0,Petrol,54500,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1705,28225,1017,HYUNDAI,2017,Jeep,1,Petrol,25000,6.0,Automatic,4x4,04-May,0,11,2.0,0.0
1706,30734,0,HONDA,2016,Sedan,1,Petrol,66200,4.0,Automatic,Front,04-May,0,12,1.5,1.0
1708,27284,0,MERCEDES-BENZ,2006,Sedan,0,LPG,134000,8.0,Tiptronic,Rear,04-May,0,8,5.5,0.0
1709,5331,0,HONDA,2003,Sedan,1,Petrol,242000,4.0,Variator,Front,04-May,1,2,1.7,0.0
1710,157,1058,MERCEDES-BENZ,2012,Jeep,0,Diesel,245762,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
1711,4391,308,TOYOTA,2014,Hatchback,0,Hybrid,151923,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1712,30906,691,HONDA,2017,Hatchback,0,Petrol,68000,4.0,Automatic,Front,04-May,0,4,1.3,0.0
1713,18826,707,SSANGYONG,2011,Jeep,0,Diesel,181000,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1714,28357,777,HYUNDAI,2014,Minivan,0,Diesel,151780,4.0,Automatic,Front,04-May,0,4,2.5,0.0
1715,15100,687,HYUNDAI,2010,Sedan,0,Petrol,98578,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1716,6899,0,SUBARU,2002,Universal,1,CNG,169000,4.0,Tiptronic,4x4,04-May,1,4,2.0,1.0
1717,549,1017,HYUNDAI,2017,Sedan,0,Petrol,83845,4.0,Automatic,Front,04-May,0,12,2.0,0.0
1718,3607,0,OPEL,2000,Sedan,1,CNG,300000,4.0,Manual,Front,04-May,0,2,1.2,0.0
1719,188,645,TOYOTA,2011,Hatchback,0,Hybrid,197328,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1720,10349,0,TOYOTA,2006,Hatchback,1,Hybrid,17778,4.0,Automatic,Front,04-May,0,8,1.5,0.0
1721,16894,530,HYUNDAI,2013,Sedan,0,Petrol,131411,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1722,157,919,BMW,2012,Jeep,0,Diesel,296395,6.0,Automatic,4x4,04-May,0,0,3.0,0.0
1723,53031,1079,HYUNDAI,2018,Jeep,0,Diesel,102934,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1724,627,777,LEXUS,2014,Sedan,0,Petrol,126021,6.0,Automatic,Rear,04-May,0,12,2.5,0.0
1725,16621,586,TOYOTA,2012,Sedan,1,Hybrid,137000,4.0,Variator,Front,04-May,0,16,1.8,0.0
1726,35902,777,HYUNDAI,2014,Minivan,0,Diesel,117917,4.0,Automatic,Front,04-May,0,4,2.5,0.0
1727,5645,1440,OPEL,2002,Goods wagon,1,Diesel,167000,4.0,Manual,Front,04-May,0,1,1.7,1.0
1728,23521,0,TOYOTA,2013,Hatchback,1,Hybrid,169600,4.0,Automatic,Front,04-May,0,4,1.8,0.0
1729,11917,639,HYUNDAI,2014,Hatchback,1,Petrol,124226,4.0,Automatic,Front,04-May,0,0,2.0,0.0
1730,12544,0,CHEVROLET,2013,Hatchback,0,Petrol,93000,4.0,Automatic,Front,04-May,0,0,1.2,0.0
1731,12074,1869,DODGE,2019,Sedan,0,Petrol,32453,6.0,Automatic,Front,04-May,0,12,3.6,0.0
1732,8467,0,BMW,1996,Sedan,0,CNG,14000,8.0,Tiptronic,Rear,04-May,0,6,4.0,0.0
1734,59586,0,MERCEDES-BENZ,2016,Minivan,0,Diesel,212000,4.0,Automatic,Rear,04-May,0,0,2.2,1.0
1735,45,0,TOYOTA,2004,Hatchback,1,Petrol,100000,4.0,Automatic,Front,04-May,0,0,1.5,0.0
1736,17249,0,HYUNDAI,2010,Sedan,1,Petrol,101405,4.0,Tiptronic,Front,04-May,0,5,2.4,0.0
1738,9000,0,AUDI,2006,Sedan,0,Petrol,205000,8.0,Tiptronic,4x4,04-May,0,12,4.2,0.0
1739,5849,418,NISSAN,2014,Hatchback,0,Petrol,101537,4.0,Automatic,Front,04-May,0,4,1.2,0.0
1741,12858,1820,MAZDA,2012,Sedan,1,Diesel,99000,4.0,Tiptronic,Front,04-May,1,12,2.2,1.0
1743,4234,761,TOYOTA,2010,Hatchback,0,Hybrid,158136,4.0,Automatic,Front,04-May,0,12,1.8,0.0
1744,14113,0,MERCEDES-BENZ,2002,Microbus,1,Diesel,0,5.0,Manual,Rear,02-Mar,0,2,2.2,1.0
1745,9408,761,TOYOTA,2010,Hatchback,1,Hybrid,200000,4.0,Variator,Front,04-May,0,12,1.8,0.0
1746,15681,0,VOLKSWAGEN,2011,Jeep,1,Petrol,268800,4.0,Manual,Front,04-May,0,12,2.0,1.0
1748,18240,528,HYUNDAI,2014,Sedan,0,Diesel,206344,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1749,15681,753,HYUNDAI,2012,Sedan,1,Petrol,100000,4.0,Automatic,Front,04-May,0,12,2.4,0.0
1751,2117,751,HYUNDAI,2013,Sedan,0,Petrol,104046,4.0,Automatic,Front,04-May,0,12,2.4,0.0
1752,549,394,TOYOTA,2014,Sedan,0,Hybrid,130478,4.0,Automatic,Front,04-May,0,12,2.5,0.0
1753,10506,1268,TOYOTA,2012,Sedan,1,Hybrid,134000,4.0,Variator,Front,04-May,1,2,1.5,0.0
1754,19757,779,TOYOTA,2013,Sedan,0,Petrol,124000,4.0,Tiptronic,Front,04-May,0,6,2.5,0.0
1755,7527,0,NISSAN,2005,Hatchback,0,Petrol,130000,4.0,Automatic,Front,04-May,1,4,1.5,0.0
1756,32615,891,HONDA,2016,Sedan,0,Petrol,20000,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1757,20698,639,HYUNDAI,2014,Jeep,0,Diesel,71101,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1758,7840,0,OPEL,2001,Coupe,0,Petrol,127000,4.0,Manual,Front,02-Mar,0,6,2.2,0.0
1759,31358,0,SUBARU,2015,Jeep,1,Petrol,52000,6.0,Variator,4x4,04-May,0,12,2.0,0.0
1760,29793,1823,MERCEDES-BENZ,2018,Jeep,0,Petrol,9765,6.0,Automatic,Rear,04-May,0,12,3.5,0.0
1761,23364,353,TOYOTA,2015,Hatchback,1,Hybrid,128000,4.0,Variator,Front,04-May,0,8,1.8,0.0
1763,50049,891,HYUNDAI,2016,Jeep,0,Diesel,145329,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1765,37633,0,MERCEDES-BENZ,2009,Minivan,0,Diesel,315000,6.0,Manual,Rear,04-May,0,2,2.2,1.0
1766,10349,1267,TOYOTA,2013,Hatchback,1,Hybrid,47000,4.0,Automatic,Front,04-May,1,10,1.5,0.0
1767,20700,0,TOYOTA,2014,Hatchback,0,Hybrid,75621,4.0,Automatic,Front,04-May,0,11,1.8,0.0
1768,21639,0,BMW,2004,Jeep,0,Diesel,300000,6.0,Tiptronic,4x4,04-May,0,8,3.0,1.0
1769,12544,473,CHEVROLET,2014,Sedan,1,Petrol,127816,4.0,Automatic,Front,04-May,0,0,1.4,0.0
1770,2666,891,MERCEDES-BENZ,2016,Sedan,0,Petrol,51725,4.0,Automatic,Rear,04-May,0,12,2.0,0.0
1771,157,1172,MERCEDES-BENZ,2011,Jeep,0,Diesel,220323,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
1772,10669,836,CHEVROLET,2010,Sedan,0,Diesel,161629,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1773,5893,966,DAEWOO,2009,Sedan,0,Petrol,74429,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1774,7778,1413,NISSAN,2011,Hatchback,0,Petrol,98000,4.0,Automatic,Front,04-May,1,4,1.5,0.0
1775,11604,640,FORD,2013,Hatchback,0,Petrol,200000,4.0,Automatic,Front,04-May,0,6,2.0,0.0
1776,11760,0,HONDA,2012,Hatchback,1,Hybrid,96000,4.0,Automatic,Front,04-May,1,4,1.3,0.0
1777,6429,2225,TOYOTA,2017,Sedan,0,Petrol,190875,8.0,Automatic,4x4,04-May,0,12,4.6,0.0
1778,51454,1202,JEEP,2017,Jeep,0,Petrol,109478,4.0,Automatic,Front,04-May,0,4,2.4,0.0
1779,43868,730,SSANGYONG,2016,Jeep,0,Diesel,85134,4.0,Automatic,Front,04-May,0,4,1.6,0.0
1781,27889,707,SSANGYONG,2011,Jeep,0,Diesel,70336,4.0,Automatic,Front,04-May,0,4,2.0,0.0
1782,47,1399,TOYOTA,2010,Sedan,0,Petrol,195613,6.0,Automatic,Front,04-May,0,12,3.5,0.0
